case,time_s,rope_speed_m_s,analytic_speed_m_s,speed_error_m_s,acceleration_m_s2,pulley_rim_speed_m_s,left_tension_N,right_tension_N,tension_ratio,capstan_static_upper_ratio,transport_distance_m,equation_11_residual_m2_s2,kinetic_wrap_residual_N,regime
sliding_limited,2.467999999999761,1.7143603831704874,1.714359921347602,4.618228854891271e-07,0.0005224524944585295,2.24,1.1035662240943735,1.8384416567517419,1.665909681369991,2.1932800507380152,3.6568529402177474,0.0,-4.440892098500626e-16,sliding
sliding_limited,2.469999999999761,1.7143614241957847,1.7143609657473677,4.5844841700670713e-07,0.0005181482537205995,2.24,1.1035667083214566,1.8384420648711934,1.6659093202145383,2.1932800507380152,3.660281662130637,-1.0842021724855044e-19,-2.220446049250313e-16,sliding
sliding_limited,2.4719999999997606,1.7143624566445612,1.7143620015463577,4.5509820356670616e-07,0.0005138794710280014,2.24,1.1035671885595095,1.8384424696285844,1.665908962034573,2.1932800507380152,3.663710386116131,0.0,-4.440892098500626e-16,sliding
sliding_limited,2.4739999999997604,1.71436348058747,1.7143630288153948,4.517720750829568e-07,0.0005096458543222145,2.24,1.1035676648413888,1.8384428710516074,1.665908606805582,2.1932800507380152,3.667139112157155,0.0,2.220446049250313e-16,sliding
sliding_limited,2.47599999999976,1.7143644960945814,1.7143640476247195,4.484698619133809e-07,0.0005054471139502082,2.24,1.1035681371996808,1.8384432691677266,1.6659082545032529,2.1932800507380152,3.6705678402367745,-1.0842021724855044e-19,-2.220446049250313e-16,sliding
sliding_limited,2.47799999999976,1.7143655032353897,1.7143650580439942,4.451913955261233e-07,0.0005012829626414903,2.24,1.103568605666703,1.83844366400418,1.665907905103475,2.1932800507380152,3.6739965703381943,1.0842021724855044e-19,0.0,sliding
sliding_limited,2.4799999999997597,1.7143665020788161,1.714366060142307,4.419365091656857e-07,0.0004971531154944346,2.24,1.103569070274507,1.8384440555879822,1.665907558582336,2.1932800507380152,3.6774253024447563,0.0,0.0,sliding
sliding_limited,2.4819999999997595,1.7143674926932135,1.714367053988177,4.3870503652065906e-07,0.0004930572899538172,2.24,1.10356953105488,1.838444443945924,1.66590721491612,2.1932800507380152,3.680854036539942,0.0,6.661338147750939e-16,sliding
sliding_limited,2.4839999999997593,1.714368475146373,1.7143680396495606,4.3549681238985727e-07,0.0004889952057868893,2.24,1.103569988039349,1.838444829104576,1.6659068740813059,2.1932800507380152,3.684282772607368,0.0,-2.220446049250313e-16,sliding
sliding_limited,2.485999999999759,1.7143694495055273,1.7143690171938537,4.323116735704957e-07,0.00048496658507019155,2.24,1.1035704412591798,1.8384452110902916,1.6659065360545682,2.1932800507380152,3.687711510630786,0.0,-4.440892098500626e-16,sliding
